ID,Name,Address,Borough,Postcode,Reviews,Price for 3 Nights (Â£),Lat,Long
0,DoubleTree by Hilton London Angel Kings Cross,60 Pentonville Road,Islington,N1 9LA,4.2,217,NaN,NaN
1,Ibis Budget London Hounslow,20-28 Staines Road,Hounslow,TW3 3JS,3.5,104,NaN,NaN
2,Bankside Hotel,"2 Blackfriars Road, Upper Ground",Southwark,SE1 9JU,4.8,717,NaN,NaN
3,The Resident Soho,10 Carlisle Street,Westminster,W1D 3BR,4.5,478,NaN,NaN
4,Apex Temple Court Hotel,"1-2 Serjeants Inn, Fleet Street",City of London,EC4Y 1AG,4.7,3177,NaN,NaN
5,London Marriott Hotel County Hall,"London County Hall, Westminster Bridge Road",Southwark,SE1 7PB,4.4,912,NaN,NaN
6,Hilton London Bankside,2-8 Great Suffolk Street,Southwark,SE1 0UG,4.7,745,NaN,NaN
7,W London,"10 Wardour Street, Soho",Westminster,W1D 6QF,4.2,984,NaN,NaN
8,The Hoxton Southwark,Blackfriars Road 32- 40,Southwark,SE1 8NY,4.6,564,NaN,NaN
9,Park Plaza County Hall London,1 Addington Street,Lambeth,SE1 7RY,4.4,478,NaN,NaN
10,Staybridge Suites London,100 Vauxhall Walk,Lambeth,SE11 5EL,4.7,560,NaN,NaN
11,SACO Fitzrovia,21 Tottenham Street,Camden,W1T 2AW,4.5,517,NaN,NaN
12,The Piccadilly London West End,"65-73 Shaftesbury Avenue, Piccadilly",Westminster,W1D 6EX,4.1,901,NaN,NaN
13,Hampton by Hilton London Waterloo,"157 Waterloo Road, Waterloo",Lambeth,SE1 8XA,4.4,346,NaN,NaN